real_word_len_list,fake_word_len_list,ai_word_len_list,real_sentence_len_list,fake_sentence_len_list,ai_sentence_len_list,real_article_len_list,fake_article_len_list,ai_article_len_list,real_no_verifiable_facts,fake_no_verifiable_facts,ai_no_verifiable_facts
6.0,5,4.0,30.0,13.0,32.0,,,,,,
8.0,2,7.0,29.0,35.0,30.0,,,,,,
2.0,5,7.0,24.0,28.0,37.0,,,,,,
3.0,4,10.0,36.0,20.0,33.0,,,,,,
4.0,3,2.0,11.0,25.0,35.0,,,,,,
3.0,5,12.0,20.0,13.0,14.0,,,,,,
4.0,5,10.0,36.0,13.0,22.0,,,,,,
8.0,4,3.0,20.0,6.0,22.0,,,,,,
3.0,5,9.0,31.0,3.0,28.0,,,,,,
6.0,4,12.0,22.0,35.0,23.0,,,,,,
2.0,1,9.0,37.0,30.0,17.0,,,,,,
5.0,11,3.0,26.0,31.0,17.0,,,,,,
8.0,4,8.0,56.0,7.0,27.0,,,,,,
9.0,5,3.0,24.0,21.0,21.0,,,,,,
4.0,1,6.0,26.0,55.0,23.0,,,,,,
7.0,3,8.0,17.0,21.0,27.0,,,,,,
5.0,3,4.0,34.0,5.0,19.0,,,,,,
2.0,2,4.0,40.0,29.0,22.0,,,,,,
9.0,1,2.0,9.0,26.0,23.0,,,,,,
2.0,1,3.0,33.0,37.0,17.0,,,,,,
6.0,8,8.0,11.0,12.0,24.0,,,,,,
9.0,1,6.0,20.0,26.0,26.0,,,,,,
5.0,9,4.0,7.0,33.0,12.0,,,,,,
5.0,3,3.0,6.0,29.0,26.0,,,,,,
3.0,5,7.0,12.0,16.0,22.0,,,,,,
5.0,5,9.0,15.0,53.0,16.0,,,,,,
3.0,4,10.0,46.0,30.0,26.0,,,,,,
3.0,7,2.0,18.0,22.0,26.0,,,,,,
8.0,9,7.0,32.0,11.0,10.0,,,,,,
4.0,5,8.0,27.0,21.0,27.0,,,,,,
1.0,3,7.0,32.0,32.0,28.0,,,,,,
1.0,2,6.0,7.0,8.0,12.0,,,,,,
10.0,7,1.0,27.0,49.0,16.0,,,,,,
1.0,8,6.0,28.0,24.0,23.0,,,,,,
4.0,5,4.0,26.0,13.0,30.0,,,,,,
2.0,1,2.0,30.0,26.0,17.0,,,,,,
1.0,6,12.0,44.0,26.0,29.0,,,,,,
10.0,4,10.0,42.0,24.0,22.0,,,,,,
7.0,5,12.0,64.0,8.0,22.0,,,,,,
7.0,7,7.0,16.0,36.0,26.0,,,,,,
8.0,1,2.0,33.0,11.0,18.0,,,,,,
2.0,2,7.0,21.0,33.0,16.0,,,,,,
6.0,1,3.0,26.0,45.0,23.0,,,,,,
4.0,5,7.0,34.0,27.0,21.0,,,,,,
3.0,5,3.0,68.0,41.0,10.0,,,,,,
8.0,5,8.0,90.0,30.0,16.0,,,,,,
8.0,7,9.0,36.0,46.0,21.0,,,,,,
4.0,5,2.0,41.0,21.0,24.0,,,,,,
4.0,5,8.0,39.0,35.0,12.0,,,,,,
3.0,2,8.0,35.0,29.0,19.0,,,,,,
5.0,3,3.0,70.0,38.0,15.0,,,,,,
8.0,4,9.0,19.0,24.0,12.0,,,,,,
3.0,5,2.0,33.0,33.0,30.0,,,,,,
9.0,3,7.0,25.0,21.0,11.0,,,,,,
5.0,6,3.0,19.0,24.0,21.0,,,,,,
2.0,2,9.0,25.0,39.0,20.0,,,,,,
1.0,5,6.0,35.0,26.0,27.0,,,,,,
3.0,7,11.0,16.0,37.0,20.0,,,,,,
7.0,2,7.0,25.0,36.0,20.0,,,,,,
9.0,4,7.0,19.0,44.0,13.0,,,,,,
2.0,1,4.0,57.0,47.0,24.0,,,,,,
4.0,6,5.0,37.0,26.0,29.0,,,,,,
8.0,2,8.0,44.0,3.0,37.0,,,,,,
11.0,3,7.0,16.0,43.0,24.0,,,,,,
7.0,4,6.0,17.0,22.0,25.0,,,,,,
5.0,2,10.0,27.0,30.0,22.0,,,,,,
1.0,7,9.0,56.0,35.0,22.0,,,,,,
1.0,3,3.0,24.0,24.0,28.0,,,,,,
6.0,5,13.0,28.0,43.0,20.0,,,,,,
3.0,4,3.0,35.0,42.0,17.0,,,,,,
8.0,4,8.0,41.0,47.0,24.0,,,,,,
8.0,2,4.0,25.0,18.0,28.0,,,,,,
5.0,2,4.0,41.0,33.0,16.0,,,,,,
5.0,5,4.0,27.0,31.0,21.0,,,,,,
2.0,4,4.0,33.0,49.0,24.0,,,,,,
4.0,1,3.0,46.0,32.0,27.0,,,,,,
4.0,2,4.0,32.0,50.0,15.0,,,,,,
3.0,1,4.0,43.0,21.0,24.0,,,,,,
4.0,2,12.0,38.0,37.0,22.0,,,,,,
10.0,3,4.0,11.0,13.0,15.0,,,,,,
2.0,1,5.0,30.0,35.0,22.0,,,,,,
4.0,7,8.0,26.0,26.0,16.0,,,,,,
4.0,6,8.0,20.0,7.0,21.0,,,,,,
3.0,2,1.0,42.0,56.0,18.0,,,,,,
3.0,5,7.0,49.0,39.0,17.0,,,,,,
9.0,1,5.0,40.0,22.0,21.0,,,,,,
6.0,3,2.0,15.0,14.0,22.0,,,,,,
9.0,3,10.0,16.0,14.0,26.0,,,,,,
2.0,6,5.0,32.0,20.0,40.0,,,,,,
8.0,7,3.0,22.0,27.0,33.0,,,,,,
7.0,5,2.0,14.0,29.0,36.0,,,,,,
1.0,7,8.0,40.0,49.0,22.0,,,,,,
4.0,5,2.0,19.0,37.0,19.0,,,,,,
4.0,3,3.0,11.0,9.0,22.0,,,,,,
3.0,5,6.0,39.0,22.0,24.0,,,,,,
5.0,7,2.0,24.0,13.0,14.0,,,,,,
10.0,5,6.0,23.0,27.0,26.0,,,,,,
7.0,2,9.0,40.0,24.0,26.0,,,,,,
6.0,6,8.0,22.0,25.0,16.0,,,,,,
2.0,2,7.0,31.0,17.0,16.0,,,,,,
8.0,11,3.0,58.0,22.0,18.0,,,,,,
5.0,7,8.0,18.0,47.0,34.0,,,,,,
3.0,4,3.0,13.0,48.0,17.0,,,,,,
11.0,5,2.0,19.0,38.0,22.0,,,,,,
12.0,2,7.0,44.0,42.0,21.0,,,,,,
2.0,6,6.0,35.0,18.0,27.0,,,,,,
7.0,3,8.0,36.0,18.0,18.0,,,,,,
10.0,5,10.0,32.0,38.0,20.0,,,,,,
4.0,3,3.0,14.0,21.0,14.0,,,,,,
3.0,7,7.0,60.0,8.0,27.0,,,,,,
5.0,4,13.0,47.0,52.0,14.0,,,,,,
2.0,3,3.0,18.0,20.0,20.0,,,,,,
7.0,5,7.0,46.0,24.0,16.0,,,,,,
5.0,8,10.0,19.0,23.0,17.0,,,,,,
5.0,2,5.0,13.0,10.0,27.0,,,,,,
1.0,3,12.0,63.0,27.0,18.0,,,,,,
1.0,6,2.0,26.0,12.0,30.0,,,,,,
4.0,2,6.0,28.0,53.0,21.0,,,,,,
3.0,3,8.0,26.0,24.0,24.0,,,,,,
4.0,12,11.0,9.0,28.0,19.0,,,,,,
9.0,2,6.0,29.0,23.0,30.0,,,,,,
5.0,3,6.0,18.0,16.0,27.0,,,,,,
2.0,6,9.0,5.0,18.0,17.0,,,,,,
7.0,9,8.0,29.0,17.0,32.0,,,,,,
1.0,5,2.0,14.0,36.0,20.0,,,,,,
2.0,3,9.0,13.0,28.0,24.0,,,,,,
7.0,2,3.0,3.0,12.0,23.0,,,,,,
13.0,10,10.0,20.0,26.0,19.0,,,,,,
1.0,5,2.0,26.0,57.0,21.0,,,,,,
2.0,12,1.0,6.0,8.0,27.0,,,,,,
8.0,2,13.0,23.0,7.0,22.0,,,,,,
10.0,3,8.0,37.0,18.0,21.0,,,,,,
